industry,country,layoff_count,workforce_percentage,total_funding_million_usd,stock_price_change_7d,revenue_growth_percent,market_cap_billion_usd,ai_automation_flag,year,hiring_status,company_size_encoded
Tech,Germany,60,12.81,974.66,-9.2,4.11,211.07,0,2023,Hiring,1
Energy,USA,8,2.23,1326.68,7.77,-14.88,185.68,0,2021,Hiring,2
AI,Australia,429,39.2,519.24,-15.04,4.52,229.47,0,2026,Slowdown,0
AI,Australia,64,17.18,869.92,5.9,-10.58,233.64,0,2020,Freeze,1
Retail,Japan,178,6.91,519.66,1.41,9.96,76.43,0,2022,Slowdown,0
Energy,USA,321,21.96,941.14,6.66,26.25,255.71,1,2025,Slowdown,2
Finance,India,408,38.94,933.55,-5.73,8.49,463.27,1,2021,Hiring,1
FinTech,Brazil,422,35.34,1215.63,-7.12,9.03,430.38,0,2021,Slowdown,2
Energy,Canada,438,36.0,668.48,-5.95,-2.0,472.45,0,2026,Slowdown,1
Finance,India,516,33.33,84.48,-2.52,9.23,497.78,0,2024,Slowdown,0
Retail,UK,210,14.54,1125.99,-3.34,12.26,216.75,0,2025,Freeze,1
Finance,Germany,95,25.47,843.03,-3.37,25.48,30.67,0,2020,Hiring,0
Finance,Germany,31,3.71,311.49,10.42,12.3,382.22,0,2024,Freeze,1
Healthcare,Japan,133,6.73,1148.4,-13.01,-5.32,488.74,1,2026,Slowdown,2
Retail,Brazil,40,18.86,1730.03,4.66,0.72,463.01,0,2020,Hiring,0
AI,UK,133,6.34,1132.47,6.03,7.41,314.35,0,2023,Slowdown,0
Energy,Australia,63,39.47,885.81,9.02,45.72,259.14,1,2021,Hiring,2
Healthcare,Germany,538,27.9,1377.89,-17.33,16.36,352.42,0,2023,Freeze,0
Retail,Singapore,135,8.99,1789.95,-17.15,6.14,464.31,0,2023,Hiring,0
Manufacturing,USA,44,9.15,1895.47,-4.8,-0.33,441.15,0,2021,Slowdown,1
Tech,UK,861,30.38,853.58,-3.64,24.46,497.78,0,2023,Hiring,0
Retail,USA,37,12.69,581.54,-7.22,16.8,399.82,0,2024,Hiring,2
Finance,Germany,43,5.34,1803.14,2.92,-8.95,270.45,0,2020,Hiring,2
EdTech,Australia,560,38.01,126.26,-18.5,5.02,449.15,0,2023,Freeze,1
Retail,Japan,61,31.05,1643.44,12.63,5.95,349.41,0,2026,Slowdown,1
EdTech,UK,186,20.07,1596.87,3.47,9.21,284.53,1,2025,Hiring,1
AI,UK,3,6.44,1142.81,1.44,-26.86,368.94,0,2024,Freeze,0
Tech,Australia,427,31.33,494.23,1.65,15.69,384.04,0,2023,Freeze,0
FinTech,Germany,465,28.13,1549.17,-4.53,-10.1,21.56,1,2024,Freeze,2
Energy,Australia,129,8.07,954.21,-5.77,0.38,326.82,0,2024,Freeze,2
Energy,Japan,89,35.53,1358.54,17.97,20.55,409.45,0,2024,Slowdown,1
Healthcare,Singapore,48,1.77,1382.3,-6.75,22.81,467.27,1,2022,Slowdown,0
Retail,Brazil,450,25.51,1166.83,4.49,1.77,493.45,0,2025,Freeze,1
AI,Germany,89,12.58,309.05,-11.46,-6.82,69.13,0,2024,Hiring,1
EdTech,Canada,179,31.63,919.2,-3.15,19.29,18.88,1,2026,Hiring,0
Manufacturing,Singapore,197,39.32,1616.34,10.85,17.75,354.94,1,2021,Freeze,2
EdTech,USA,469,17.52,376.74,-11.58,3.11,182.0,1,2022,Slowdown,2
AI,UK,88,4.59,116.0,-15.46,12.96,400.51,0,2024,Hiring,0
Manufacturing,Japan,862,35.18,1687.18,6.0,14.28,476.03,0,2022,Freeze,1
FinTech,USA,71,7.75,519.65,8.12,-2.2,378.39,0,2021,Hiring,0
Tech,Brazil,270,35.12,1414.53,-2.65,17.09,380.27,0,2021,Hiring,1
Healthcare,Germany,10,4.72,1571.07,-3.26,-15.48,227.35,0,2023,Slowdown,1
EdTech,Japan,240,12.63,302.52,0.35,10.87,414.78,0,2023,Freeze,1
FinTech,UK,127,12.23,1472.56,7.53,9.53,387.78,0,2021,Hiring,1
Energy,UK,470,25.6,1010.63,-7.12,3.83,263.39,0,2026,Freeze,2
AI,Germany,136,24.15,418.92,-4.45,-10.18,131.14,0,2021,Hiring,1
Healthcare,Australia,568,32.44,878.41,7.05,11.94,277.33,0,2025,Hiring,1
Manufacturing,Japan,153,18.29,120.71,13.4,18.28,272.45,0,2026,Freeze,0
EdTech,Brazil,401,22.0,1345.55,-7.72,24.94,49.82,1,2023,Hiring,1
Healthcare,Canada,260,14.45,968.33,-3.82,-26.84,92.3,1,2024,Slowdown,0
Manufacturing,Canada,9,1.82,1718.01,-10.1,24.95,459.72,0,2020,Freeze,2
Energy,UK,240,14.9,786.31,0.83,0.33,401.9,0,2024,Slowdown,0
FinTech,USA,144,33.41,700.65,4.81,4.87,200.13,0,2025,Hiring,0
Retail,Canada,197,7.56,291.97,0.61,-11.05,251.74,0,2022,Freeze,1
AI,Japan,56,15.49,394.09,3.06,17.76,57.25,1,2020,Hiring,2
Tech,USA,483,31.16,490.49,-5.24,14.08,20.15,0,2023,Freeze,0
Energy,USA,246,9.38,1778.75,-22.11,12.88,496.68,0,2023,Freeze,1
Energy,Australia,163,32.41,283.11,5.04,7.39,209.39,0,2023,Slowdown,1
FinTech,Germany,27,1.53,826.74,-3.81,-2.34,36.78,0,2025,Hiring,1
Finance,Brazil,59,5.11,482.68,-8.46,-13.73,93.51,0,2025,Hiring,0
Retail,India,56,3.8,1432.77,9.24,0.28,195.41,0,2021,Hiring,0
Retail,India,432,30.31,1504.4,-11.94,19.58,165.42,0,2020,Hiring,2
Manufacturing,India,285,35.53,726.37,-1.56,13.99,466.23,0,2021,Freeze,2
Manufacturing,India,87,8.03,130.48,0.89,-0.68,189.24,1,2026,Slowdown,0
Retail,India,563,36.48,1876.98,5.85,-8.92,6.37,0,2022,Hiring,2
Energy,Germany,22,9.14,994.58,-12.67,-20.19,173.94,0,2022,Hiring,2
Manufacturing,Singapore,561,28.36,1438.61,-10.64,10.64,220.24,0,2022,Slowdown,0
Healthcare,Japan,606,25.89,1178.17,6.57,-15.43,114.78,1,2023,Freeze,0
FinTech,USA,222,24.33,371.21,-11.26,-22.19,142.52,1,2020,Freeze,0
FinTech,Germany,195,27.51,1510.29,-1.94,17.6,87.03,0,2021,Hiring,0
Retail,UK,418,30.67,1702.31,-23.75,4.4,128.58,0,2024,Slowdown,1
FinTech,Canada,315,26.72,88.0,-8.75,4.22,360.77,0,2022,Freeze,1
Retail,Singapore,66,14.54,378.13,3.97,-12.22,173.95,0,2020,Hiring,1
Tech,India,110,17.05,371.77,-2.14,22.57,470.71,0,2025,Hiring,2
Energy,India,93,17.89,290.98,-3.44,4.09,84.13,0,2024,Slowdown,2
Manufacturing,Brazil,63,19.8,89.73,-6.28,26.21,231.32,0,2026,Freeze,2
Manufacturing,Japan,16,2.78,849.0,-1.81,15.38,429.67,0,2024,Freeze,1
EdTech,Brazil,96,22.67,972.06,-8.31,-2.13,417.53,1,2026,Slowdown,0
Tech,Brazil,12,1.67,588.81,-2.64,-15.13,212.08,0,2024,Freeze,1
EdTech,Japan,151,21.04,1418.87,4.28,12.08,195.48,0,2025,Slowdown,0
Energy,USA,113,9.57,705.66,2.18,0.44,10.38,1,2021,Slowdown,1
Energy,Brazil,38,14.51,741.81,-26.27,24.75,444.38,1,2020,Hiring,2
Healthcare,Germany,96,33.49,95.11,-7.75,-9.74,326.66,1,2021,Freeze,1
AI,Brazil,163,8.44,1389.57,-9.52,-3.8,301.36,1,2022,Freeze,1
AI,Singapore,261,13.24,494.08,-5.32,18.32,375.94,0,2023,Freeze,0
EdTech,Australia,275,14.04,1763.09,7.37,7.79,307.49,0,2024,Slowdown,1
Manufacturing,India,196,38.08,235.2,1.18,9.38,173.26,0,2020,Freeze,2
AI,UK,146,27.44,1370.67,5.72,-4.61,108.66,0,2022,Hiring,1
EdTech,USA,448,20.11,812.76,0.16,0.03,85.21,0,2023,Slowdown,1
Energy,India,459,35.15,221.58,-8.41,13.55,395.89,0,2026,Freeze,2
Manufacturing,UK,152,35.03,1051.79,-0.37,-3.87,11.22,0,2024,Hiring,1
EdTech,Brazil,71,37.38,615.19,2.26,21.11,24.41,0,2024,Freeze,0
Retail,Brazil,52,7.15,787.32,6.51,12.25,422.09,0,2025,Freeze,2
Manufacturing,Germany,158,12.08,252.39,-12.88,9.13,460.93,1,2021,Slowdown,2
Retail,Germany,350,22.1,1149.46,0.39,51.31,457.11,0,2025,Hiring,1
FinTech,India,217,16.57,1616.29,1.75,23.49,483.24,0,2024,Freeze,2
FinTech,Japan,198,12.98,1069.54,-11.62,-3.16,67.24,0,2025,Freeze,2
EdTech,Australia,184,14.48,747.38,-11.57,19.14,304.9,0,2022,Hiring,2
Tech,Japan,183,21.29,1861.8,-10.34,12.16,466.22,0,2022,Hiring,2
Manufacturing,Japan,112,13.15,1601.47,-9.39,-23.15,261.66,0,2026,Freeze,1
Manufacturing,Singapore,318,32.43,857.72,-21.28,-17.08,56.79,0,2022,Slowdown,2
AI,USA,102,5.12,1982.85,-14.29,6.88,122.14,1,2022,Freeze,2
Energy,Australia,67,12.75,322.73,2.26,12.89,70.5,1,2020,Hiring,1
AI,USA,119,11.72,1356.84,7.58,-24.55,19.31,0,2020,Freeze,0
Healthcare,Japan,95,14.77,920.16,-26.73,27.64,490.77,0,2024,Slowdown,0
Manufacturing,India,872,39.14,1660.7,-2.34,7.31,329.55,0,2023,Hiring,1
EdTech,Canada,63,35.94,1912.67,13.83,-16.84,439.79,0,2021,Freeze,0
Finance,USA,616,29.85,1078.6,3.26,3.78,43.75,1,2023,Freeze,1
Manufacturing,Australia,110,28.86,807.85,-1.19,-17.76,94.07,0,2026,Freeze,2
Manufacturing,Australia,24,8.28,815.77,-9.03,6.52,365.31,0,2021,Hiring,2
AI,Brazil,496,25.11,266.42,-0.68,-4.94,171.65,0,2026,Slowdown,0
Healthcare,Japan,36,3.4,1992.18,1.37,0.84,193.6,0,2020,Hiring,0
FinTech,UK,12,1.66,1046.58,-15.15,-5.97,167.69,0,2022,Freeze,1
Finance,Australia,392,20.8,1386.42,8.02,1.74,315.13,0,2023,Freeze,1
Tech,Singapore,152,27.12,541.42,11.87,6.69,205.21,0,2024,Hiring,2
Finance,Germany,122,30.65,353.8,-12.86,-4.44,169.36,1,2025,Freeze,0
Retail,USA,10,10.61,792.74,2.49,0.15,341.68,0,2026,Slowdown,0
Retail,Japan,71,24.16,801.8,3.76,18.74,417.79,1,2020,Hiring,0
Healthcare,Singapore,85,35.81,1006.85,-13.93,-0.83,322.92,0,2023,Slowdown,1
Energy,USA,481,33.85,572.7,-8.88,10.57,287.78,0,2025,Hiring,1
Energy,Singapore,313,37.02,1483.45,-1.6,-19.76,158.12,0,2020,Slowdown,0
Retail,Germany,480,29.8,1549.56,1.26,-2.5,303.55,0,2026,Freeze,0
Finance,Brazil,71,3.87,1883.14,-8.25,-8.2,247.04,1,2025,Hiring,1
FinTech,USA,305,27.69,938.45,-9.05,5.98,46.52,0,2026,Slowdown,1
FinTech,Australia,150,23.86,1838.91,-7.53,2.0,197.33,0,2021,Freeze,2
Retail,Brazil,18,9.0,1432.39,-27.27,11.28,404.48,0,2022,Slowdown,0
EdTech,USA,276,22.49,233.85,-4.71,11.47,471.41,0,2024,Slowdown,2
Energy,Germany,182,16.29,241.06,-9.23,25.24,390.41,0,2022,Freeze,0
Retail,Germany,348,27.28,1179.82,-2.62,0.19,288.18,1,2026,Slowdown,2
AI,Brazil,47,18.86,259.54,-11.66,5.11,216.41,1,2025,Slowdown,2
AI,Germany,30,16.06,1853.52,7.99,-10.8,326.01,1,2025,Hiring,1
Healthcare,Brazil,550,19.93,406.16,-6.07,-8.45,62.3,0,2022,Freeze,2
Manufacturing,Japan,607,36.84,1025.55,-16.69,-20.75,314.57,0,2024,Freeze,0
FinTech,Canada,195,6.85,1568.91,2.44,29.06,166.29,0,2022,Hiring,2
Tech,USA,64,6.17,1624.06,-15.78,8.38,337.01,0,2020,Freeze,0
Energy,UK,347,35.22,212.04,8.66,-0.41,192.49,0,2021,Hiring,1
Retail,Australia,75,27.19,1685.69,0.6,9.45,125.27,0,2024,Freeze,1
Tech,Canada,23,14.52,1775.88,4.86,-0.82,319.03,0,2020,Hiring,1
EdTech,Germany,381,29.9,521.9,9.54,0.74,172.12,0,2021,Hiring,1
Finance,India,218,13.33,1777.77,17.51,-5.12,280.27,0,2022,Slowdown,2
AI,Canada,65,10.26,800.26,0.96,-10.85,379.18,0,2020,Hiring,1
Healthcare,Germany,97,32.06,795.97,-0.04,0.38,76.92,0,2020,Freeze,2
Tech,Japan,17,4.25,375.23,-15.83,11.5,109.74,0,2024,Hiring,1
Tech,India,736,38.36,1540.43,1.25,17.49,302.05,1,2023,Freeze,2
AI,USA,81,8.52,1378.35,-1.39,0.59,136.27,0,2023,Slowdown,0
Tech,USA,215,13.25,546.47,-3.82,7.38,322.95,0,2026,Slowdown,2
Retail,USA,62,2.61,1838.11,6.7,-1.87,304.58,0,2023,Slowdown,0
EdTech,Japan,30,3.16,1756.3,-11.8,21.16,486.65,0,2026,Slowdown,1
FinTech,Singapore,269,26.03,1435.37,-12.03,2.41,291.34,0,2021,Slowdown,2
Energy,UK,455,30.87,910.36,-2.54,-4.76,315.18,0,2026,Freeze,1
AI,UK,140,19.4,1489.0,2.93,-12.17,70.11,0,2025,Freeze,1
Finance,Canada,13,1.5,224.41,-0.27,-14.58,181.89,0,2021,Slowdown,1
EdTech,Singapore,267,27.98,62.93,-2.36,0.03,308.91,0,2021,Slowdown,1
Healthcare,Brazil,47,9.77,560.26,4.85,7.78,90.23,1,2026,Hiring,2
Energy,India,172,15.97,242.72,-11.22,9.03,122.55,0,2024,Slowdown,2
FinTech,India,384,24.62,734.23,14.23,2.59,38.26,0,2026,Slowdown,1
Healthcare,Germany,752,37.5,1911.56,-6.42,10.95,428.32,0,2023,Freeze,0
Manufacturing,Singapore,548,35.43,144.54,-0.92,-11.56,209.61,1,2024,Freeze,2
Manufacturing,Australia,295,30.03,1807.17,-6.98,13.62,4.34,0,2021,Slowdown,2
Healthcare,Germany,244,34.7,223.78,-12.69,-0.14,159.51,1,2020,Freeze,0
Finance,Canada,515,21.03,1220.99,-13.79,17.52,95.73,0,2022,Hiring,1
Finance,Germany,58,9.08,1425.02,-3.04,19.36,371.22,0,2020,Freeze,0
Retail,UK,74,15.13,1303.81,-9.99,-19.93,331.14,0,2020,Freeze,1
Energy,Brazil,358,32.95,1422.78,10.27,-4.62,490.81,0,2024,Slowdown,2
Manufacturing,Australia,324,27.85,457.38,-7.55,2.55,17.69,0,2024,Freeze,1
EdTech,USA,462,28.49,1702.36,-14.84,5.3,477.19,0,2025,Freeze,1
Tech,Canada,129,10.65,1202.94,-18.4,-5.14,128.86,0,2025,Hiring,2
Manufacturing,Japan,69,29.62,663.88,-4.29,29.7,62.94,0,2020,Freeze,0
EdTech,Canada,47,8.64,1165.98,5.53,-7.5,393.08,0,2026,Hiring,0
Finance,Japan,733,37.13,174.37,9.05,10.28,135.68,0,2024,Slowdown,0
Tech,Brazil,138,7.86,1550.57,-24.66,10.78,256.98,1,2023,Freeze,2
Energy,India,207,29.03,96.44,2.11,-23.13,101.72,0,2020,Slowdown,2
FinTech,Japan,131,10.69,760.52,2.35,36.98,409.07,0,2020,Freeze,0
Energy,Singapore,19,1.67,818.05,-11.63,10.45,114.12,0,2020,Hiring,2
FinTech,Japan,382,30.78,272.33,4.11,6.16,44.35,0,2021,Hiring,1
AI,Brazil,698,35.26,569.74,-10.56,-5.11,403.05,0,2024,Hiring,2
Retail,Japan,28,10.38,816.04,-6.77,20.44,432.93,0,2025,Freeze,0
Healthcare,Australia,39,8.29,1241.23,-3.7,-9.26,458.69,0,2020,Hiring,0
EdTech,Germany,657,38.51,1958.27,-6.27,25.77,396.53,1,2024,Hiring,0
Healthcare,USA,716,38.23,315.94,3.3,-4.17,94.7,0,2024,Slowdown,1
Tech,Singapore,232,15.14,308.05,3.29,-21.11,163.32,0,2024,Freeze,0
Tech,Canada,170,26.01,1847.59,-7.23,12.47,391.52,0,2024,Freeze,2
Finance,India,27,6.01,1000.47,-6.74,-8.22,326.85,0,2022,Freeze,1
Retail,UK,283,29.8,1591.34,-3.95,12.76,204.75,0,2021,Hiring,0
Healthcare,Germany,57,30.34,753.48,-11.56,31.02,243.05,0,2025,Slowdown,1
EdTech,India,346,12.51,1232.53,-21.27,17.82,187.7,0,2022,Hiring,1
Tech,Germany,226,29.94,1393.81,-6.7,20.26,445.35,0,2022,Hiring,1
Energy,USA,202,35.88,1694.28,-1.54,-1.19,120.89,0,2024,Hiring,2
FinTech,Canada,94,25.39,787.31,-3.97,-18.3,494.78,1,2026,Freeze,0
Manufacturing,Germany,355,35.19,324.93,-18.45,-7.56,273.79,0,2025,Slowdown,0
EdTech,Japan,409,28.25,328.75,-5.7,10.2,6.31,0,2022,Freeze,0
FinTech,India,70,10.09,1515.82,3.48,15.57,293.1,0,2021,Hiring,2
EdTech,Singapore,114,35.51,1962.17,1.75,-25.31,10.11,0,2020,Hiring,0
Energy,Brazil,550,20.04,120.0,2.81,30.15,468.64,0,2022,Hiring,1
Tech,Brazil,137,13.7,1532.24,-10.28,-23.98,8.27,0,2024,Slowdown,0
Manufacturing,Australia,358,28.53,790.36,6.12,-0.38,136.41,1,2025,Slowdown,0
EdTech,Singapore,695,38.99,1258.37,-7.6,8.48,225.39,0,2024,Slowdown,0
AI,Japan,121,15.87,1531.55,2.62,2.49,298.88,0,2020,Hiring,2
Finance,Singapore,212,21.79,958.82,-2.71,8.7,336.9,0,2020,Hiring,2
AI,Australia,35,1.41,1724.01,-12.34,11.96,225.69,0,2023,Freeze,2
FinTech,Brazil,182,11.92,1675.05,-17.96,-15.97,322.11,0,2023,Freeze,2
FinTech,UK,181,9.49,1388.26,0.35,8.17,353.68,0,2025,Slowdown,0
Manufacturing,Singapore,21,37.73,1312.84,-16.18,1.67,115.8,0,2025,Hiring,2
AI,Canada,175,25.64,1046.89,-12.09,7.54,159.73,0,2023,Hiring,2
Manufacturing,Germany,232,17.67,733.28,-0.49,34.4,401.13,1,2026,Freeze,1
Manufacturing,Singapore,69,5.56,1000.48,2.51,-13.11,397.2,0,2024,Slowdown,1
Retail,UK,114,29.62,572.89,-9.68,21.33,158.96,0,2023,Slowdown,2
FinTech,Singapore,142,35.44,618.21,0.63,-4.38,346.03,0,2023,Slowdown,1
Healthcare,India,294,16.62,265.08,6.89,13.05,175.0,0,2023,Slowdown,0
Manufacturing,UK,463,28.67,1870.41,-1.64,-4.89,282.64,0,2025,Freeze,0
AI,Japan,358,36.57,923.88,4.92,0.63,20.59,0,2026,Freeze,0
Finance,Canada,53,22.17,1914.38,-5.31,33.54,449.38,0,2021,Freeze,2
Finance,Germany,199,21.06,1196.32,-19.63,-1.3,228.83,0,2022,Slowdown,1
AI,Singapore,151,38.02,27.39,-1.22,4.95,100.8,0,2026,Freeze,0
Energy,Japan,48,20.53,392.35,12.38,12.7,238.59,0,2026,Freeze,1
Manufacturing,India,340,32.88,740.92,5.58,11.8,146.97,0,2021,Freeze,0
Tech,India,271,25.57,1482.93,-1.61,-4.88,418.24,0,2023,Slowdown,2
Healthcare,India,39,8.18,1765.09,-11.24,28.67,171.69,0,2024,Slowdown,0
Tech,USA,153,24.64,427.11,4.71,19.43,307.07,0,2021,Slowdown,2
AI,Australia,24,8.07,664.24,3.6,6.19,269.16,0,2022,Slowdown,0
AI,Singapore,165,14.95,1504.5,-4.45,-15.64,310.27,0,2023,Hiring,0
Manufacturing,Germany,20,2.03,120.84,-1.98,5.78,428.14,0,2021,Slowdown,0
Tech,UK,447,37.61,1327.29,7.68,-4.1,422.18,0,2021,Slowdown,2
EdTech,India,213,31.68,1734.73,-13.97,25.0,52.65,1,2021,Hiring,1
EdTech,UK,70,19.14,177.59,-20.81,-4.61,28.57,0,2021,Hiring,1
Retail,Canada,445,39.67,1633.66,2.62,-4.84,354.02,0,2024,Freeze,2
Retail,Germany,61,28.68,1057.23,-8.3,8.76,257.33,0,2021,Slowdown,1
EdTech,UK,239,18.8,414.84,-12.42,7.36,104.12,0,2024,Hiring,1
AI,Germany,292,21.86,1194.67,-3.72,1.93,207.95,0,2025,Freeze,2
Tech,Japan,158,26.96,745.87,3.56,20.21,472.25,0,2025,Freeze,1
Retail,Brazil,25,7.57,791.71,2.4,3.32,383.36,0,2021,Slowdown,2
Energy,UK,325,32.38,1837.85,-1.83,-17.6,448.39,0,2024,Freeze,0
Energy,Canada,184,8.27,1858.02,-4.43,2.76,295.71,0,2022,Freeze,0
EdTech,USA,36,7.01,909.08,-1.5,20.09,436.97,0,2026,Slowdown,2
EdTech,USA,415,26.73,1919.58,-3.2,-4.65,50.1,0,2024,Freeze,1
Tech,Japan,440,30.3,1884.81,-14.34,8.69,199.19,0,2024,Hiring,1
AI,Brazil,1006,39.36,1010.12,-1.71,-4.65,227.93,0,2022,Freeze,1
Healthcare,UK,317,28.63,1322.47,-6.16,-5.51,57.24,0,2022,Slowdown,2
FinTech,Germany,142,23.22,1315.14,-1.79,2.11,231.22,1,2020,Hiring,1
Finance,UK,181,32.25,532.86,5.33,15.23,105.11,0,2021,Slowdown,2
AI,India,102,19.6,1974.75,12.07,17.64,358.77,0,2025,Hiring,1
Healthcare,Australia,415,34.99,621.19,-16.72,-23.58,273.2,0,2023,Freeze,0
Healthcare,Singapore,210,20.12,1684.81,6.99,-8.99,237.7,0,2020,Slowdown,0
Healthcare,Canada,705,35.47,221.45,-3.24,11.21,214.23,1,2026,Hiring,1
Tech,Germany,161,8.58,1722.8,0.4,-10.97,126.81,0,2026,Hiring,0
Healthcare,Singapore,341,30.35,923.72,1.58,0.43,214.66,0,2021,Freeze,2
Healthcare,UK,335,22.08,1156.73,3.61,-15.2,301.3,0,2025,Hiring,0
Healthcare,Canada,27,2.02,477.9,-10.27,17.01,387.12,0,2025,Slowdown,2
Energy,UK,388,38.84,1615.34,-4.3,-22.93,180.42,1,2021,Hiring,1
Retail,Brazil,168,20.11,760.49,7.56,7.76,347.47,0,2026,Hiring,1
Healthcare,India,455,25.27,927.15,-16.23,-17.29,467.84,0,2022,Slowdown,2
Finance,Australia,204,21.55,752.03,-10.66,-11.14,494.89,0,2021,Freeze,1
EdTech,Australia,42,13.51,1640.96,2.36,16.11,4.84,0,2026,Freeze,2
EdTech,Singapore,282,22.43,1569.81,4.67,-14.59,134.69,0,2023,Slowdown,2
Energy,Canada,197,21.29,1705.44,16.0,3.84,353.8,0,2025,Slowdown,0
Healthcare,USA,63,3.84,1877.73,-3.5,15.72,229.43,0,2022,Freeze,2
Finance,Australia,376,37.78,203.27,-9.2,25.03,427.43,0,2024,Freeze,1
Manufacturing,Japan,498,28.57,469.0,-2.03,22.17,440.39,0,2022,Freeze,0
Healthcare,Japan,23,19.69,1447.45,-9.08,15.44,196.68,0,2026,Freeze,2
Retail,UK,77,15.01,769.79,12.47,25.53,237.52,0,2020,Freeze,1
Energy,Japan,571,30.29,682.61,-8.76,28.85,214.13,1,2025,Freeze,0
Energy,USA,595,28.49,1359.42,-4.77,8.16,306.09,0,2022,Hiring,2
Manufacturing,USA,117,4.73,80.64,4.42,-2.98,228.46,0,2023,Slowdown,1
Finance,Canada,299,38.55,310.53,13.32,-4.05,492.89,0,2023,Freeze,2
EdTech,India,13,1.63,218.49,-2.32,-5.74,146.37,0,2023,Freeze,0
Healthcare,USA,296,35.96,899.59,10.13,0.37,328.49,0,2021,Slowdown,2
AI,USA,286,31.09,100.39,2.43,1.2,358.99,0,2020,Slowdown,0
Manufacturing,USA,66,36.76,1287.27,3.63,-11.83,16.69,0,2025,Slowdown,1
Manufacturing,Brazil,155,29.14,653.02,-9.42,-13.49,394.57,0,2023,Slowdown,0
Finance,Japan,43,32.15,919.8,-0.01,-1.17,99.99,0,2025,Hiring,2
FinTech,Singapore,153,24.97,1741.37,-13.02,15.96,348.11,0,2020,Freeze,1
EdTech,Canada,89,11.78,1139.61,-4.29,-9.49,225.87,0,2021,Hiring,0
Energy,Canada,515,38.46,352.9,1.52,28.75,155.72,0,2024,Hiring,0
Tech,UK,629,24.72,1432.13,4.89,22.53,186.47,0,2022,Hiring,2
Healthcare,Australia,713,36.55,558.26,-13.2,26.16,102.72,0,2026,Hiring,1
Finance,UK,29,4.26,550.26,0.25,-19.26,148.93,0,2020,Freeze,2
Retail,Japan,398,29.5,601.67,-5.52,8.85,226.24,0,2021,Hiring,0
EdTech,Brazil,172,25.66,697.95,-14.88,2.05,241.67,0,2026,Freeze,1
FinTech,Singapore,388,15.26,95.73,2.97,18.79,294.64,0,2023,Hiring,2
FinTech,Canada,243,21.69,1114.96,-7.38,-17.56,247.06,0,2026,Hiring,0
EdTech,Canada,253,9.99,586.35,-3.3,-1.37,425.47,0,2023,Freeze,1
Energy,USA,433,37.52,787.56,-2.94,-4.13,219.56,1,2026,Hiring,1
FinTech,Germany,207,14.33,654.91,13.86,12.29,17.64,0,2022,Hiring,1
FinTech,Singapore,53,13.66,841.02,-14.67,24.2,341.27,0,2024,Freeze,2
Manufacturing,Canada,21,2.3,1008.17,-8.76,13.45,157.11,0,2020,Slowdown,0
Finance,Brazil,230,20.25,836.11,-10.91,-1.92,66.59,1,2020,Freeze,1
Energy,Japan,305,34.32,1178.01,-10.41,29.48,138.51,0,2020,Hiring,1
Retail,Japan,433,21.68,766.03,-2.35,4.67,69.05,0,2025,Hiring,2
Energy,Germany,254,9.63,395.67,-9.07,-4.76,65.4,0,2023,Hiring,2
Healthcare,Brazil,10,19.01,63.71,3.94,-21.39,169.99,0,2026,Hiring,0
Finance,USA,155,11.25,1153.62,-1.09,10.02,411.11,0,2021,Freeze,1
Healthcare,USA,80,12.34,830.3,-11.07,-10.75,275.18,1,2020,Hiring,0
AI,Brazil,158,34.6,662.13,-4.86,3.69,184.13,1,2024,Hiring,0
AI,Brazil,97,6.59,274.02,-0.63,3.87,128.23,0,2021,Hiring,2
Tech,Germany,58,10.84,1755.81,-15.63,14.36,218.08,0,2021,Hiring,1
AI,Singapore,73,11.12,1094.76,13.18,3.56,118.84,0,2020,Hiring,1
EdTech,Canada,29,2.97,350.3,-8.27,-8.35,69.84,0,2021,Freeze,0
Retail,Canada,450,32.6,1520.96,-2.52,-5.49,242.26,1,2020,Slowdown,1
EdTech,Japan,225,28.95,854.82,-14.78,0.48,95.17,0,2024,Freeze,1
Energy,Australia,46,11.32,625.03,-14.76,12.08,300.01,1,2022,Freeze,2
Retail,Japan,286,37.41,1025.47,6.24,3.4,350.4,0,2021,Hiring,0
Finance,UK,44,3.57,1232.02,-8.66,-13.75,424.64,0,2021,Hiring,0
Finance,Canada,301,26.11,1053.35,10.35,8.28,165.76,0,2023,Hiring,2
EdTech,Australia,71,3.87,1026.83,12.66,20.3,411.39,0,2024,Slowdown,2
FinTech,Canada,442,30.06,1810.43,-15.15,2.76,2.3,0,2022,Hiring,2
Healthcare,Australia,652,32.03,652.39,5.0,29.06,428.5,0,2022,Hiring,0
AI,Australia,227,39.61,419.73,-3.82,33.94,272.44,0,2022,Slowdown,1
Manufacturing,Japan,36,23.28,20.26,7.46,23.73,326.49,0,2021,Slowdown,2
Manufacturing,UK,36,10.89,1752.02,-5.62,11.2,229.97,0,2020,Freeze,1
EdTech,Brazil,423,34.98,1540.08,-0.34,3.81,411.24,0,2021,Hiring,0
EdTech,Canada,92,16.23,223.65,-13.93,25.39,447.73,0,2022,Hiring,1
Manufacturing,Brazil,133,6.92,1136.07,9.92,7.41,382.24,0,2026,Hiring,1
EdTech,Singapore,124,30.54,1682.85,-3.44,-1.0,380.93,0,2022,Freeze,0
FinTech,Canada,286,15.67,1680.86,-18.53,31.82,482.72,0,2025,Slowdown,2
